"Supplementary Table 2: Drug-drug interactions detected in the screen. Drug interactions, their conservation across strains and across species, and whether they were probed for all or only part of the species. Interaction sign is “synergy” or “antagonism” in case of strong interactions, “NA” otherwise. Corresponding p-values and interactions scores are provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drug combination,,Conservation across species,Class-Class,Conservation across strains,,,Interacion sign,,,,,,Interacion score,,,,,,p-value,,,,,,Species conflict,Species probed
,Erythromycin,Aztreonam,PA,beta-lactam_macrolide,NA,NA,weak_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.133817849,-0.197384898,NA,NA,NA,NA,0.034806332,NA,no_conflict,ECSTPA
,Sulfamonomethoxine,Minocycline,PA,folic acid biosynthesis_tetracycline,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.130551007,0.028129044,NA,NA,NA,NA,0.005238084,NA,no_conflict,ECSTPA
,Paraquat,Loperamide,PA,oxidative stress_human drug,NA,NA,not_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.1273913,0.034424203,NA,NA,NA,NA,0.006607722,NA,no_conflict,ECSTPA
,Procaine,Levofloxacin,PA,quinolones_human drug,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.352945783,0,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Procaine,Minocycline,PA,tetracycline_human drug,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.326277517,0,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Levofloxacin,Nitrofurantoin,PA,quinolones_multiple,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.281004153,0.133676724,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Nitrofurantoin,Rifampicin,PA,RNA polymerase_multiple,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.134481689,-0.030558113,NA,NA,NA,NA,0.005238084,NA,no_conflict,ECSTPA
,A22,Chlorhexidine,PA,other cell wall_LPS,NA,NA,conserved,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.65615258,-0.56258751,NA,NA,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Loperamide,Teicoplanin,PA,other cell wall_human drug,NA,NA,weak_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.126576392,-0.085985872,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Loperamide,Clofazimine,PA,other DNA_human drug,NA,NA,not_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.102097541,0.041290411,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Loperamide,Clarithromycin,PA,macrolide_human drug,NA,NA,not_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.309539055,0.094025676,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Minocycline,Reserpine,PA,tetracycline_human drug,NA,NA,not_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.113309794,-0.05407978,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Chlorhexidine,Caffeine,PA,LPS_food additive,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.1496208,-0.045605195,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,EGCG,Clarithromycin,PA,fatty acid biosynthesis_macrolide,NA,NA,weak_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.132987531,-0.070416576,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,EGCG,Mitomycin C,PA,other DNA_fatty acid biosynthesis,NA,NA,weak_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.19719259,-0.067385145,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Penicillin G,Moxifloxacin,PA,beta-lactam_quinolones,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.215559434,0.036104615,NA,NA,NA,NA,0.021005514,NA,no_conflict,ECSTPA
,Imipenem,Phenformin,PA,beta-lactam_human drug,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.27791203,0.048539336,NA,NA,NA,NA,0.036365,NA,no_conflict,ECSTPA
,Imipenem,Triclosan,PA,beta-lactam_other membrane,NA,NA,not_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.251783446,-0.036194732,NA,NA,NA,NA,0.040461287,NA,no_conflict,ECSTPA
,Amoxicillin,Gentamicin,PA,beta-lactam_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.383839228,-0.132220928,NA,NA,NA,NA,0.013773623,NA,no_conflict,ECSTPA
,Ciprofloxacin,Cefotaxime,PA,beta-lactam_quinolones,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.122010705,0.045059797,NA,NA,NA,NA,0.003531698,NA,no_conflict,ECSTPA
,Ciprofloxacin,Piperacillin,PA,beta-lactam_quinolones,NA,NA,not_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.180505655,0.116246564,NA,NA,NA,NA,0.019490975,NA,no_conflict,ECSTPA
,Ciprofloxacin,Metformin,PA,quinolones_human drug,NA,NA,not_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.25665059,0.110213492,NA,NA,NA,NA,0.00503913,NA,no_conflict,ECSTPA
,Bacitracin,Gentamicin,PA,other cell wall_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.384514293,-0.080893682,NA,NA,NA,NA,0.011784918,NA,no_conflict,ECSTPA
,Amikacin,Imipenem,PA,beta-lactam_aminoglycoside,NA,NA,not_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.103155626,0.003975856,NA,NA,NA,NA,0.048925609,NA,no_conflict,ECSTPA
,Amikacin,Meropenem,PA,beta-lactam_aminoglycoside,NA,NA,not_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.264844739,-0.035746404,NA,NA,NA,NA,0.049796943,NA,no_conflict,ECSTPA
,Cefotaxime,Levofloxacin,PA,beta-lactam_quinolones,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.123483284,0,NA,NA,NA,NA,0.0063327,NA,no_conflict,ECSTPA
,Cefotaxime,Tobramycin,PA,beta-lactam_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.447368477,-0.080973093,NA,NA,NA,NA,0.001981816,NA,no_conflict,ECSTPA
,Cefotaxime,Gentamicin,PA,beta-lactam_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.337989384,-0.066279092,NA,NA,NA,NA,0.045550563,NA,no_conflict,ECSTPA
,Benzalkonium,Paraquat,PA,other membrane_oxidative stress,NA,NA,not_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.1675024,0.013944311,NA,NA,NA,NA,0.013773623,NA,no_conflict,ECSTPA
,Erythromycin,Piperacillin,PA,beta-lactam_macrolide,NA,NA,not_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.199159569,0.04810609,NA,NA,NA,NA,0.001981816,NA,no_conflict,ECSTPA
,Levofloxacin,Piperacillin,PA,beta-lactam_quinolones,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.185777285,0,NA,NA,NA,NA,0.003531698,NA,no_conflict,ECSTPA
,Piperacillin,Nitrofurantoin,PA,beta-lactam_multiple,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.138098829,0.071036116,NA,NA,NA,NA,0.003531698,NA,no_conflict,ECSTPA
,Piperacillin,Clarithromycin,PA,beta-lactam_macrolide,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.218555234,0.062855558,NA,NA,NA,NA,0.00503913,NA,no_conflict,ECSTPA
,Loperamide,Gentamicin,PA,aminoglycoside_human drug,NA,NA,conserved,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.313570617,-0.726558355,NA,NA,NA,NA,0.039668033,0.014239034,no_conflict,ECSTPA
,Minocycline,Colistin,PA,LPS_tetracycline,NA,NA,conserved,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.255805182,-0.3368527,NA,NA,NA,NA,0.020596071,0.002994083,no_conflict,ECSTPA
,Teicoplanin,Rifampicin,PA,other cell wall_RNA polymerase,NA,NA,not_comparable,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.195977174,-0.058812916,NA,NA,NA,NA,0.02470605,NA,no_conflict,ECSTPA
,Chlorhexidine,Colistin,PA,LPS_LPS,NA,NA,conserved,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.780121925,-0.834845234,NA,NA,NA,NA,0.001981816,0.002994083,no_conflict,ECSTPA
,Chlorhexidine,Moxifloxacin,PA,quinolones_LPS,NA,NA,conserved,NA,NA,NA,NA,Synergy,Synergy,NA,NA,NA,NA,-0.680956557,-0.628595365,NA,NA,NA,NA,0.037104453,0.014239034,no_conflict,ECSTPA
,Aztreonam,Clarithromycin,PA,beta-lactam_macrolide,NA,NA,weak_conserved,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.313635124,-0.191145446,NA,NA,NA,NA,0.001981816,NA,no_conflict,ECSTPA
,Ciprofloxacin,Loperamide,PA,quinolones_human drug,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.136154019,0.313327855,NA,NA,NA,NA,0.005238084,0.002815025,no_conflict,ECSTPA
,Ciprofloxacin,Puromycin,PA,quinolones_other protein synthesis inhibitor,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.221120325,0.163905198,NA,NA,NA,NA,0.014752535,0.024232036,no_conflict,ECSTPA
,Ciprofloxacin,Azithromycin,PA,quinolones_macrolide,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.27649098,0.138404124,NA,NA,NA,NA,0.002089943,0.047836486,no_conflict,ECSTPA
,Ciprofloxacin,Berberine,PA,quinolones_food additive,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.288292147,0.434818417,NA,NA,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Ciprofloxacin,Phleomycin,PA,quinolones_multiple,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.183607657,0.059970567,NA,NA,NA,NA,0.003779074,NA,no_conflict,ECSTPA
,Cycloserine D,Cefotaxime,PA,beta-lactam_other cell wall,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.15571608,0.032218618,NA,NA,NA,NA,0.005238084,NA,no_conflict,ECSTPA
,Spectinomycin,Nitrofurantoin,PA,multiple_aminoglycoside,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.146737917,-0.036651643,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Spectinomycin,Azithromycin,PA,aminoglycoside_macrolide,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.123260228,0.119531311,NA,NA,NA,NA,0.033833409,NA,no_conflict,ECSTPA
,Fosfomycin,Metronidazole,PA,other cell wall_other DNA,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.191107021,0.065771117,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Amikacin,Minocycline,PA,tetracycline_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.299149553,0.122472689,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Amikacin,Metronidazole,PA,other DNA_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.131646714,0.087552639,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Amikacin,Daptomycin,PA,PMF_aminoglycoside,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.110821428,0.059815166,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Amikacin,Tigecycline,PA,tetracycline_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.17666212,0.077170699,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Amikacin,Colistin,PA,LPS_aminoglycoside,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.226454847,0,NA,NA,NA,NA,0.024461593,NA,no_conflict,ECSTPA
,Amikacin,Acetylsalisylic acid,PA,aminoglycoside_human drug,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.400068123,0.070223262,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Amikacin,Ciclopirox,PA,aminoglycoside_human drug,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.392377341,0.111157594,NA,NA,NA,NA,0.009567829,NA,no_conflict,ECSTPA
,Amikacin,Phleomycin,PA,multiple_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.332205272,0.103944483,NA,NA,NA,NA,0.003779074,NA,no_conflict,ECSTPA
,Cefotaxime,Metronidazole,PA,beta-lactam_other DNA,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.104353409,0.059476127,NA,NA,NA,NA,0.006607722,NA,no_conflict,ECSTPA
,Cefotaxime,Bleomycin,PA,beta-lactam_multiple,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.159831985,-0.033151495,NA,NA,NA,NA,0.005238084,NA,no_conflict,ECSTPA
,Benzalkonium,Erythromycin,PA,other membrane_macrolide,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.29083562,0.125859548,NA,NA,NA,NA,0.002089943,0.027224251,no_conflict,ECSTPA
,Benzalkonium,Azithromycin,PA,other membrane_macrolide,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.370695024,0.306307525,NA,NA,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Cefsulodin,Loperamide,PA,beta-lactam_human drug,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.262712872,0.502251836,NA,NA,NA,NA,0.002089943,0.002389296,no_conflict,ECSTPA
,Cefsulodin,Metronidazole,PA,beta-lactam_other DNA,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.18920484,0.193530743,NA,NA,NA,NA,0.003779074,0.019839395,no_conflict,ECSTPA
,Cefsulodin,Puromycin,PA,beta-lactam_other protein synthesis inhibitor,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.17138337,0.100807319,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Cefsulodin,Azithromycin,PA,beta-lactam_macrolide,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.26072416,0.09902515,NA,NA,NA,NA,0.006607722,NA,no_conflict,ECSTPA
,Cefsulodin,Berberine,PA,beta-lactam_food additive,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.26290746,0.236289857,NA,NA,NA,NA,0.002089943,0.014629598,no_conflict,ECSTPA
,Cefsulodin,Acetylsalisylic acid,PA,beta-lactam_human drug,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.250190576,0.184429928,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Cefsulodin,Phleomycin,PA,beta-lactam_multiple,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.259218249,0.055642715,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Erythromycin,Mitomycin C,PA,other DNA_macrolide,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.128962817,0.1668199,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Erythromycin,Azithromycin,PA,macrolide_macrolide,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.108434744,0.109716423,NA,NA,NA,NA,0.039410345,0.011123888,no_conflict,ECSTPA
,Sulfamonomethoxine,Procaine,PA,folic acid biosynthesis_human drug,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.14566412,0.054040679,NA,NA,NA,NA,0.003779074,NA,no_conflict,ECSTPA
,Procaine,Nitrofurantoin,PA,multiple_human drug,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.303019949,0.065134634,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Procaine,Reserpine,PA,human drug_human drug,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.103156804,0.046658753,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Verapamil,Gentamicin,PA,aminoglycoside_human drug,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.124280655,0.057329105,NA,NA,NA,NA,0.038522724,NA,no_conflict,ECSTPA
,Levofloxacin,Berberine,PA,quinolones_food additive,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.363241421,0.70685036,NA,NA,NA,NA,0.01342082,0.002815025,no_conflict,ECSTPA
,Piperacillin,Cephalexin,PA,beta-lactam_beta-lactam,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.147661201,0.030978977,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Piperacillin,Imipenem,PA,beta-lactam_beta-lactam,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.568022711,-0.063515816,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Nitrofurantoin,Metformin,PA,multiple_human drug,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.107605847,-0.030669955,NA,NA,NA,NA,0.036365,NA,no_conflict,ECSTPA
,Nitrofurantoin,Azithromycin,PA,multiple_macrolide,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.11711539,0.05011539,NA,NA,NA,NA,0.022069793,NA,no_conflict,ECSTPA
,Nitrofurantoin,Berberine,PA,multiple_food additive,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.143171581,-0.047734781,NA,NA,NA,NA,0.010788307,NA,no_conflict,ECSTPA
,Nitrofurantoin,Gentamicin,PA,multiple_aminoglycoside,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.38935272,0,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Loperamide,Rifampicin,PA,RNA polymerase_human drug,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.163110616,0.090558096,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Loperamide,Imipenem,PA,beta-lactam_human drug,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.120330914,0.089774022,NA,NA,NA,NA,0.006607722,NA,no_conflict,ECSTPA
,Loperamide,Curcumin,PA,food additive_human drug,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.250503162,0.231624593,NA,NA,NA,NA,0.002089943,0.011123888,no_conflict,ECSTPA
,Loperamide,Phleomycin,PA,multiple_human drug,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.123509844,0.049633579,NA,NA,NA,NA,0.01342082,NA,no_conflict,ECSTPA
,Minocycline,Tobramycin,PA,tetracycline_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.123384724,0.064413292,NA,NA,NA,NA,0.005238084,NA,no_conflict,ECSTPA
,Minocycline,Azithromycin,PA,tetracycline_macrolide,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.150445959,0.213714445,NA,NA,NA,NA,0.002089943,0.04850504,no_conflict,ECSTPA
,Minocycline,Phleomycin,PA,multiple_tetracycline,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.289599493,0.058316747,NA,NA,NA,NA,0.006607722,NA,no_conflict,ECSTPA
,Minocycline,Gentamicin,PA,tetracycline_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.330613472,0.372406801,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Tobramycin,Metronidazole,PA,other DNA_aminoglycoside,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.103358424,0.054944098,NA,NA,NA,NA,0.01588794,NA,no_conflict,ECSTPA
,Tobramycin,Clarithromycin,PA,aminoglycoside_macrolide,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.454814464,0.194183789,NA,NA,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Tobramycin,Azithromycin,PA,aminoglycoside_macrolide,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.547661724,0.100336428,NA,NA,NA,NA,0.006607722,NA,no_conflict,ECSTPA
,Tobramycin,Acetylsalisylic acid,PA,aminoglycoside_human drug,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.591246249,0.6684683,NA,NA,NA,NA,0.002089943,0.00863359,no_conflict,ECSTPA
,Chlorhexidine,EGCG,PA,LPS_fatty acid biosynthesis,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.223982878,0.068366785,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,EGCG,Colistin,PA,LPS_fatty acid biosynthesis,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.372251767,0.035325401,NA,NA,NA,NA,0.003779074,NA,no_conflict,ECSTPA
,Rifampicin,Azithromycin,PA,RNA polymerase_macrolide,NA,NA,weak_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.25224375,0.06037775,NA,NA,NA,NA,0.002089943,NA,no_conflict,ECSTPA
,Clarithromycin,Berberine,PA,macrolide_food additive,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.21769406,0.145020245,NA,NA,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Amikacin,Mecillinam,PA,beta-lactam_aminoglycoside,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.100568364,0.113179943,NA,NA,NA,NA,0.004268804,0.007324046,no_conflict,ECSTPA
,Cefotaxime,Cephalexin,PA,beta-lactam_beta-lactam,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.116115556,0.036680225,NA,NA,NA,NA,0.034419444,NA,no_conflict,ECSTPA
,Chloramphenicol,Cefsulodin,PA,beta-lactam_other protein synthesis inhibitor,NA,NA,not_comparable,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.463726943,0.038540155,NA,NA,NA,NA,0.001849815,NA,no_conflict,ECSTPA
,Ciprofloxacin,Cephalexin,PA,beta-lactam_quinolones,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.175813352,-0.041067859,NA,NA,NA,NA,0.031144845,NA,no_conflict,ECSTPA
,Cefsulodin,Cephalexin,PA,beta-lactam_beta-lactam,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.381525443,0.036195189,NA,NA,NA,NA,0.001849815,NA,no_conflict,ECSTPA
,Cefsulodin,Linezolid,PA,beta-lactam_other protein synthesis inhibitor,NA,NA,conserved,NA,NA,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.278114874,0.301070134,NA,NA,NA,NA,0.001849815,0.046150465,no_conflict,ECSTPA
,Cefsulodin,Daptomycin,PA,beta-lactam_PMF,NA,NA,not_conserved,NA,NA,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.179175692,0.040502169,NA,NA,NA,NA,0.017693883,NA,no_conflict,ECSTPA
,Ciprofloxacin,Diclofenac,PA,quinolones_human drug,NA,NA,not_comparable,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.054957023,-0.229258889,NA,NA,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,Ciprofloxacin,Triclosan,PA,quinolones_other membrane,NA,NA,weak_conserved,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.079367244,-0.192979119,NA,NA,NA,NA,NA,0.045978735,no_conflict,ECSTPA
,Spectinomycin,Benzalkonium,PA,other membrane_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.070570494,-0.17344274,NA,NA,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,Spectinomycin,Verapamil,PA,aminoglycoside_human drug,NA,NA,weak_conserved,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.070354196,-0.136547048,NA,NA,NA,NA,NA,0.049477118,no_conflict,ECSTPA
,Fusidic acid,EGCG,PA,fatty acid biosynthesis_other protein synthesis inhibitor,NA,NA,weak_conserved,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.086587066,-0.11241749,NA,NA,NA,NA,NA,0.033849376,no_conflict,ECSTPA
,Amikacin,Cefsulodin,PA,beta-lactam_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.06102104,-0.168293703,NA,NA,NA,NA,NA,0.007324046,no_conflict,ECSTPA
,Amikacin,A22,PA,other cell wall_aminoglycoside,NA,NA,not_conserved,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,0.030386213,-0.159489127,NA,NA,NA,NA,NA,0.002815025,no_conflict,ECSTPA
,Cefsulodin,Tobramycin,PA,beta-lactam_aminoglycoside,NA,NA,weak_conserved,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.101738643,-0.241636042,NA,NA,NA,NA,NA,0.007324046,no_conflict,ECSTPA
,Procaine,Chlorhexidine,PA,LPS_human drug,NA,NA,weak_conserved,NA,NA,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.163091898,-0.386522602,NA,NA,NA,NA,NA,0.002815025,no_conflict,ECSTPA
